Scrip	Expiry	Lot Size	Margin/Lot
ONGC	28-Jul-2026	2250	135000
OILIND	28-Jul-2026	1400	125000
GAIL	28-Jul-2026	6300	145000
ADAGRE	28-Jul-2026	600	185000
TATPOW	28-Jul-2026	1450	120000
CESC	28-Jul-2026	3625	110000
INDGAS	28-Jul-2026	1375	105000
MAHGAS	28-Jul-2026	400	120000
GUJGA	28-Jul-2026	1250	100000
PETLNG	28-Jul-2026	1500	95000
HINAER	28-Jul-2026	150	185000
BHAELE	28-Jul-2026	2850	160000
MAZDOC	28-Jul-2026	175	190000
DATPAT	28-Jul-2026	325	140000
EIDPAR	28-Jul-2026	1400	105000
BALCHI	28-Jul-2026	1600	110000
TRIENG	28-Jul-2026	1500	120000
SUNPHA	28-Jul-2026	350	125000
DIVLAB	28-Jul-2026	100	135000
CIPLA	28-Jul-2026	375	115000
INDOIL	28-Jul-2026	4875	130000
BHAPET	28-Jul-2026	1975	125000
HINPET	28-Jul-2026	2025	120000
INDPAI	28-Jul-2026	150	145000
ASIPAI	28-Jul-2026	250	130000
CEAT	28-Jul-2026	200	135000
MRFTYR	28-Jul-2026	5	150000
APOTYR	28-Jul-2026	1700	110000
JKTYRE	28-Jul-2026	2100	105000
BALIND	28-Jul-2026	300	120000
MARUTI	28-Jul-2026	50	155000
MAHMAH	28-Jul-2026	350	185000
BAAUTO	28-Jul-2026	75	160000
EICMOT	28-Jul-2026	175	150000
TVSMOT	28-Jul-2026	350	140000
TITIND	28-Jul-2026	175	130000
KALJEW	28-Jul-2026	1150	120000
INFTEC	28-Jul-2026	400	150000
TCS	28-Jul-2026	175	140000
HCLTEC	28-Jul-2026	350	125000
WIPRO	28-Jul-2026	3000	135000
TECMAH	28-Jul-2026	600	145000
HDFBAN	28-Jul-2026	550	135000
ICIBAN	28-Jul-2026	700	130000
AXIBAN	28-Jul-2026	625	125000
KOTMAH	28-Jul-2026	400	140000
STABAN	28-Jul-2026	750	120000
